city,count
16 A,1
6th Mile,2
88 Mudlapura,16
A Vemavarappadu,2
Achankunnu,1
Adasolai,6
Addakal,1
Adegaon K,1
Adilabad,9
Adimalathura,3
Adimali,1
Adivad,6
Agara pothakudi,7
Agaram Then,1
Agartala,1
Agarvada,1
Agassaim,1
Agatti,6
Agonda,7
Agra,111
Agraharam gate,3
Agumbe,1
Ahilyanagar,3
Ahju,1
Ahmedabad,7
Aijuru,1
Aikura,1
Aima,33
Aingoth,1
Ajara,1
Ajarakhpur,6
Ajmer,2
Akalgarh,1
Akamala,1
Akambadam,2
Akbarpur,1
Akhada Balapur,1
Akola,1
Aladangadi,1
Alamgarh,1
Alamgir,1
Alanallur villa,1
Alancode,3
Alangad,2
Alankuppam,2
Alappuzha,41
Alapur,1
Aleo,1
Allithurai,1
Alluru Aakula,1
Along,1
Aloor,1
Alumanoor,5
Aluva,46
Alvalapuram,2
Amala Nagar,18
Amaragol,3
Amaravati,4
Amaravila,14
Amarpura,1
Amayannoor,1
Ambad,2
Ambala,2
Ambalamugal,2
Ambalapara,16
Ambalappadu,1
Ambalavayal,2
Amballur,3
Ambarampalayam,2
Ambejogai,3
Ambelim,3
Amboli,1
Ammapalayam,1
Amminikkad,1
Amravati,515
Amritsar,17
Amroli,4
Anad,1
Anaiyur,1
Anakasugur,1
Anakkal,15
Anand,4
Anandapuram,3
Anantapur,9
Anantharam,3
Anantnag,1
Anappara,4
Anappuzha,5
Anayamkunnu,1
Anchelpetty,7
Andagalore Gate,3
Andanallur,1
Andipillikavu,15
Andoor,2
Anegundi,1
Angadipuram,5
Angalakuduru,1
Angalakurichi,1
Angaragudde,1
Aniyaram,2
Anjuna,2
Annanad,9
Annavaram Surav,2
Anneshvara,1
Annikkara,6
Anthikkad,25
Anumula,2
Appampattu,6
Appannapet,4
Arakera,2
Arakkonam,7
Arakkunnam,5
Arakuzha,1
Aranakuppe,1
Araria,1
Arasikere,11
Arasur,1
Archakarahalli,1
Archhandi,1
Ardaya,1
Areeparambu,1
Arimbur,17
Arisipalayam,19
Armoor,2
Arnetu,1
Arpora,8
Arthi,1
Aru,1
Aruvipuram,18
Aruvithura,6
Arwat,2
Aryad,2
Aryankavu,1
Asansol,2
Ashvem,7
Ashwaraopet,2
Asmanpur,1
Asna,5
Aspal Kalan,1
Assagao,1
Asuna,1
Aswalu,1
Aswapuram,1
Athagad,1
Athani,4
Athipet,2
Athirappilly,1
Atteeri,2
Attibele,4
Atturu,1
Avadi,9
Avalahalli,1
Avanoor,59
Avaragere,2
Avittathur Vill,2
Awali,1
Ayarahalli,1
Ayarkkunnam,46
Ayinumakkal,36
Aymanam,5
Azheekal,2
Azhiyur,1
B Camp,2
B.Mutlur,1
BAZAAR SAHI,29
Babajipara,1
Babanagaram,1
Babupeth,20
Bada Bag,1
Baddi,1
Badem,5
Baggi,1
Baggona,1
Bagyal Gaon,1
Bahadarke,3
Bahadurgarh,5
Bahadurpet,3
Bahalgarh,2
Bahang,2
Bahraich,2
Baida,8
Baikampady,1
Bajagoli,1
Bajpur,1
Baksaid,1
Balagere,1
Balaghat,1
Balaramapuram,5
Balchand Para,1
Baldanpurva,1
Baleshwar,19
Ballari,4
Ballarshah,2
Balrampur,1
Balusseri,1
Banamaliprasad,1
Banbag,1
Bandala Purana,1
Bandalli,1
Bandla,4
Bandlaguda Jagi,3
Bandora,24
Banhat,1
Bantaram,1
Bantwal Cross R,5
Baoli,1
Bara,2
Bara Bhanghal,1
Barahi,7
Baral,2
Baranagar,1
Barasat,1
Barehi,1
Bargaon,6
Bargarh,1
Barharia,1
Bariarpur,1
Barpeta,4
Barrackpore,5
Barsheni,1
Barsu,1
Basal,1
Basantpur Ramra,1
Basantpura,1
Basar,5
Basarapur,2
Basari,1
Basheerabad,6
Bathinda,2
Batim,3
Bechraji,1
Beejpur Mod,3
Begar,1
Begowal,1
Bekal,1
Bela,1
Belagavi,36
Bellampalli,1
Belthur,2
Bemetara,1
Benapur,1
Benaulim,34
Benekanahalli,5
Bengaluru,2591
Bennangur,2
Berli Kalan,1
Betalbatim,6
Bethavolu,1
Betul,6
Bhadgaon,1
Bhadravathi,6
Bhagalpur,1
Bhagavathipuram,50
Bhagsu,13
Bhagwangola,1
Bhagwari Kalan,2
Bhaikhli,1
Bhandara City,14
Bhangauli,43
Bhangrotu,1
Bhanohad,1
Bharananganam,9
Bharanikkavu,1
Bharatpur,5
Bharuch,3
Bhaton Ka Sayra,1
Bhattian Bet,3
Bhattupalle,5
Bhavanipuram,1
Bhavnagar,1
Bheemini,1
Bhilai,1
Bhilgaon,52
Bhilwara,2
Bhimavaram,17
Bhongir,3
Bhoodoli,1
Bhopal,61
Bhoyar,2
Bhubaneswar,1
Bhubaneswar Mun,47
Bhupalpally,8
Bhutta,3
Bidhannagar,27
Bihar More,3
Bijani,2
Bijnapalli,2
Bikaner,7
Bilaspur,16
Bir,1
Bisalahalli,1
Bissamcuttack,1
Bobri,1
Bodh Gaya,10
Bodulabanda,1
Boinpalle,1
